EkipmanNo,KoruyucuNumarasi,AnaBilimDali,Birim,KoruyucuCinsi,KursunEsdegeri,HizmetYili,Bedeni,KontrolTarihi,Durum,Aciklama,VarsaDemirbasNo,KayitTarih,Barkod,sync_status,updated_at
RKE-O-87,KRD-ANJ-Ö-12,Kardiyoloji ABD,Anjiografi,Palto (Önlük),,2024,L,,,,,,,clean,
RKE-O-88,ANZ-SRV-Ö-7,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Palto (Önlük),,2024,L,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-88; Koruyucu No: ANZ-SRV-Ö-7; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-O-89,,Radyoloji ABD,Radyoloji Depo,Palto (Önlük),,2024,L,,,,,,,clean,
RKE-O-9,,Radyoloji ABD,Radyoloji Depo,Palto (Önlük),,2024,S,,,,,,,clean,
RKE-O-90,ORT-AML-Ö-51,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,L,,,,,,,clean,
RKE-O-91,CER-AEND-Ö-18,Genel Cerrahi ABD,Acil Endoskopi Ünitesi,Palto (Önlük),,2024,L,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-91; Koruyucu No: CER-AEND-Ö-18; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-O-92,ORT-AML-Ö-52,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,L,,,,,,,clean,
RKE-O-93,ORT-AML-Ö-53,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,L,,,,,,,clean,
RKE-O-94,ÜRO-END-Ö-18,Üroloji ABD,Endoskopi Ünitesi,Palto (Önlük),,2024,L,,,,,,,clean,
RKE-O-95,ORT-AML-Ö-54,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,L,,,,,,,clean,
RKE-O-96,ÜRO-END-Ö-19,Üroloji ABD,Endoskopi Ünitesi,Palto (Önlük),,2024,L,,,,,,,clean,
RKE-O-97,KRD-ANJ-Ö-13,Kardiyoloji ABD,Anjiografi,Palto (Önlük),,2024,L,,,,,,,clean,
RKE-O-98,CER-END-Ö-11,Genel Cerrahi ABD,Endoskopi Ünitesi,Palto (Önlük),,2024,L,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-98; Koruyucu No: CER-END-Ö-11; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-O-99,ORT-AML-Ö-55,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,L,,,,,,,clean,
RKE-TK-1,ANZ-SRV-TK-1,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-1; Koruyucu No: ANZ-SRV-TK-1; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-TK-10,ÜRO-END-TK-1,Üroloji ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-100,ÜRO-END-TK-2,Üroloji ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
